date,CO2_avg,CH4_avg,N2O_avg,CFC11_avg,CFC12_avg,CFC113_avg,SF6_avg
2020-09-19,,1992.815292,334.0065348,,,,10.67873333
2020-09-20,415.9905661,1987.478104,335.6438525,,,,10.45776
2020-09-21,,1996.602394,334.3843937,,,,10.41284
2020-09-22,,2003.139621,334.7911299,,,,10.408345
2020-09-23,414.9836377,1998.498613,334.8982054,,,,10.46768947
2020-09-24,413.7348313,1991.892566,335.2710007,,,,10.494455
2020-09-25,413.5388118,1980.15243,333.7063974,,,,10.45659
2020-09-26,411.8355639,1969.070711,334.2225371,,,,10.31387895
2020-09-27,409.8823639,2003.688813,333.8548179,,,,10.33297
2020-09-28,410.3892564,1996.156387,333.9403514,,,,10.374305
2020-09-29,410.1283527,1972.170966,333.419561,,,,10.358645
2020-09-30,,1972.365115,333.8990794,,,,10.38694737
2020-10-01,414.7906482,1967.781442,333.792884,,,,10.45676364
2020-10-02,413.4132222,2013.995768,333.8276044,,,,
2020-10-03,,1995.26485,334.1943748,,,,
2020-10-04,,1995.652511,335.8043738,,,,
2020-10-05,415.6708468,1987.226138,334.0288365,,,,
2020-10-06,414.7925147,1995.21324,334.0543519,,,,
2020-10-07,414.386589,2000.092755,335.3115374,,,,
2020-10-08,413.1150721,2004.28664,335.459553,,,,
2020-10-09,413.2604228,1999.070324,335.0098897,,,,
2020-10-10,412.6459773,2050.133806,334.3106373,,,,
2020-10-11,411.7453394,1995.344573,334.1342323,,,,
2020-10-12,411.5909195,1995.268426,334.2523866,,,,
2020-10-13,416.809011,1984.747757,334.0831552,,,,
2020-10-14,416.5487022,1965.581762,334.1712311,,,,
2020-10-15,414.8947233,2007.455146,334.585483,,,,
2020-10-16,415.0113898,1984.755943,333.9619884,,,,
2020-10-17,417.8210852,1982.391407,334.1463963,,,,
2020-10-18,418.7360575,2027.120799,334.1634646,,,,
2020-10-19,419.5117246,1997.971613,334.4603634,,,,
2020-10-20,419.6098566,1980.680411,335.0635759,,,,
2020-10-21,417.8060624,1967.441197,334.9195081,,,,
2020-10-22,,2043.85245,334.3464046,,,,
2020-10-23,418.8576698,1994.990556,334.9921574,,,,
2020-10-24,,1993.124954,335.31256,,,,
2020-10-25,416.674407,1984.047133,335.1388285,,,,
2020-10-26,416.7374869,1977.681087,335.2872901,,,,
2020-10-27,417.2699605,1974.392968,334.514839,,,,
2020-10-28,,1980.493206,334.1183379,,,,
2020-10-29,420.5612292,1994.001824,334.3273167,,,,
2020-10-30,419.1225282,1993.515458,334.3796376,,,,
2020-10-31,419.2386858,1983.558671,334.1018072,,,,
2020-11-01,419.3253524,1981.232502,334.3373349,,,,
2020-11-02,,1977.990822,334.77427,,,,
2020-11-03,,1969.461026,334.1376846,,,,
2020-11-04,417.9767374,1966.292495,334.3848599,,,,
2020-11-05,418.4374462,1971.199715,334.3080268,,,,
2020-11-06,,1971.040559,334.1993286,,,,
2020-11-07,,1977.661849,334.4732441,,,,
2020-11-08,,2080.910515,334.2776785,,,,
2020-11-09,,1976.208277,334.7168071,,,,
2020-11-10,419.2739136,1974.371286,334.912871,,,,
2020-11-11,419.1131624,2030.818346,334.5707952,,,,
2020-11-12,,2037.372882,334.9519125,,,,
2020-11-13,,2003.547392,334.6120689,,,,
2020-11-14,417.8769649,1986.593607,334.1981192,,,,
2020-11-15,,1993.993272,334.590204,,,,
2020-11-16,,1994.139709,334.0312142,,,,
2020-11-17,417.0438779,1989.49576,334.4801148,,,,
2020-11-18,,1988.335509,334.7834793,,,,
2020-11-19,419.4106294,1997.681729,334.4319943,,,,
2020-11-20,,1984.409329,334.8416768,,,,
2020-11-21,419.2205447,1983.409166,334.7672658,,,,10.72818261
2020-11-22,419.7246053,1981.798871,334.4805455,,,,10.7256
2020-11-23,419.2987692,1990.510649,334.2525301,,,,10.72463333
2020-11-24,419.8714745,2035.497644,334.6685979,,,,10.724675
2020-11-25,419.1973825,2021.04918,334.5129472,,,,10.74444
2020-11-26,421.2352362,1991.247208,334.3651396,,,,
2020-11-27,422.3781998,2030.186045,334.8167206,,,,
2020-11-28,420.681908,2035.640175,334.3500162,,,,
2020-11-29,419.027846,2033.265924,335.4636379,,,,
2020-11-30,418.7203034,2020.628436,334.5695615,,,,
2020-12-01,418.6084136,2009.361624,334.5049156,,,,
2020-12-02,418.1916533,1987.031178,333.9237078,,,,
2020-12-03,417.0811964,1983.701532,336.3603156,,,,10.68599231
2020-12-04,418.1718506,1982.676024,335.1965911,,,,10.76026818
2020-12-05,418.900679,1978.384136,334.4484699,,,,10.73598235
2020-12-06,419.6613528,1984.568032,334.4410734,,,,10.7734
2020-12-07,,1994.837245,334.3019167,,,,
2020-12-08,419.2612853,1980.499464,334.2723857,,,,10.78051579
2020-12-09,418.7255256,2002.605568,333.9026738,,,,10.71349091
2020-12-10,420.1144894,1989.472899,333.4373527,,,,10.8212
2020-12-11,,1987.297812,333.870362,,,,
2020-12-12,421.203897,2011.080062,334.3930891,,,,10.80775
2020-12-13,419.5997663,1995.533918,334.9049622,,,,10.801025
2020-12-14,420.7068455,2005.357023,334.3875557,,,,10.70539167
2020-12-15,420.9716347,2011.719947,334.2035249,,,,10.77261538
2020-12-16,420.5889507,1992.626439,334.6205503,,,,10.78477619
2020-12-17,420.6038491,1991.772865,334.4416275,,,,10.75933
2020-12-18,420.6663379,2005.503308,334.5052324,,,,10.8177
2020-12-19,419.8223124,1994.088543,334.5544501,,,,10.74606364
2020-12-20,419.5313714,2005.855895,334.4794759,,,,10.72140455
2020-12-21,419.0341263,1996.591446,334.984249,,,,10.76766923
2020-12-22,421.9039324,1995.169627,335.1074098,,,,
2020-12-23,,1997.270743,335.0019919,,,,
2020-12-24,,1976.005922,335.1572023,,,,10.74425
2020-12-25,421.1460608,2007.657361,335.2505574,,,,10.74170417
2020-12-26,,2002.424766,334.9518583,,,,10.85715
2020-12-27,,1986.817905,335.2874683,,,,
2020-12-28,,1972.979801,335.6183549,,,,
2020-12-29,,2013.09823,335.6439998,,,,
2020-12-30,423.0978124,1997.079958,336.0568525,,,,10.76509444
2020-12-31,420.8949636,1998.955879,335.7104725,,,,10.71885417
2020-01-02,430.7677563,2057.735388,334.666683,,499.8743556,69.05985,
2020-01-03,,2062.049548,334.733846,,499.73575,68.42037143,
2020-01-04,,,334.713359,226.9871333,499.4629833,68.4913125,
2020-01-05,,2013.029433,333.9807991,227.1709938,499.2682706,68.27283684,
2020-01-06,428.5970713,2041.853334,335.411251,,499.4761267,67.895535,
2020-01-07,429.5452181,2042.067935,335.2313326,226.7794,499.1696,67.87695714,10.5037
2020-01-08,428.5838739,,334.0443481,225.9316,499.7353333,68.231,
2020-01-09,427.2353377,2024.327802,333.9690467,227.1964286,499.7705867,68.52714118,
2020-01-10,423.3227824,2029.549915,334.4279292,227.4655143,499.7487833,68.004755,
2020-01-11,422.4772435,1996.221715,333.9698356,226.7028882,498.8906474,68.16503529,10.40683333
2020-01-12,420.6097506,1978.392982,333.2610515,226.776885,498.746525,68.2681,10.448775
2020-01-13,419.9118489,1976.699272,333.2615847,226.38671,498.11107,67.71858,10.37927778
2020-01-14,425.1515855,2005.658167,334.0742848,226.73554,498.7815842,68.26824,10.42812857
2020-01-15,422.6804335,1991.686916,333.3372424,226.74359,498.95658,67.90664211,10.47705
2020-01-16,422.6711708,1996.727681,333.946022,226.9117533,499.0212444,67.91359474,10.42247143
2020-01-17,422.7328784,2005.400387,333.9943514,226.7152714,499.0755545,68.12508333,10.40525714
2020-01-18,421.7981993,1983.923848,333.9357615,226.629915,498.4113,68.24856316,10.38058889
2020-01-19,426.3544996,2087.676965,335.7058043,227.4127333,499.4784333,68.06439167,
2020-01-20,422.4018549,1998.63034,333.865495,226.7736083,498.9050437,68.05806,10.39656667
2020-01-21,421.5276829,2025.005361,333.8513225,226.9928846,498.8474778,68.4696,10.4842
2020-01-22,,,336.5865267,,499.5204,67.42943684,
2020-01-23,,2054.051574,334.9923835,227.52945,499.74999,67.369125,
2020-01-24,,2063.671452,335.1421827,227.37242,499.9137833,68.46617778,
2020-01-25,,,336.6129616,227.0243,500,68.567525,
